      a          H  rho/3H^2 -1   P_f/E_f    K_f/E_f    G_f/E_f            mean_fields            rms_fields
   2.86943  0.101E-04 -0.131E-11  0.833      0.167      0.312E-11 -0.558     -0.149E-15  0.823E-07  0.610E-07
   2.88948  0.100E-04 -0.125E-11  0.878      0.122      0.303E-11 -0.564     -0.130E-15  0.816E-07  0.602E-07
   2.90976  0.100E-04 -0.117E-11  0.916      0.836E-01  0.295E-11 -0.570     -0.875E-16  0.810E-07  0.596E-07
   2.93028  0.100E-04 -0.113E-11  0.948      0.519E-01  0.286E-11 -0.574     -0.297E-16  0.804E-07  0.591E-07
   2.95108  0.999E-05 -0.109E-11  0.972      0.276E-01  0.278E-11 -0.577      0.319E-16  0.798E-07  0.585E-07
   2.97216  0.999E-05 -0.107E-11  0.989      0.108E-01  0.270E-11 -0.580      0.845E-16  0.792E-07  0.578E-07
   2.99355  0.999E-05 -0.104E-11  0.998      0.179E-02  0.262E-11 -0.581      0.117E-15  0.786E-07  0.570E-07
   3.01523  0.999E-05 -0.103E-11   1.00      0.351E-03  0.253E-11 -0.581      0.126E-15  0.780E-07  0.563E-07
   3.03724  0.999E-05 -0.101E-11  0.994      0.621E-02  0.246E-11 -0.580      0.110E-15  0.774E-07  0.557E-07
   3.05956  0.999E-05 -0.999E-12  0.981      0.189E-01  0.238E-11 -0.578      0.755E-16  0.768E-07  0.554E-07
   3.08221  0.998E-05 -0.996E-12  0.962      0.380E-01  0.232E-11 -0.575      0.314E-16  0.762E-07  0.552E-07
   3.10518  0.997E-05 -0.100E-11  0.937      0.627E-01  0.225E-11 -0.571     -0.136E-16  0.757E-07  0.548E-07
   3.12845  0.995E-05 -0.102E-11  0.908      0.924E-01  0.220E-11 -0.566     -0.510E-16  0.751E-07  0.543E-07
   3.15203  0.993E-05 -0.106E-11  0.874      0.126      0.214E-11 -0.560     -0.743E-16  0.746E-07  0.538E-07
   3.17590  0.989E-05 -0.109E-11  0.836      0.164      0.210E-11 -0.553     -0.794E-16  0.741E-07  0.534E-07
   3.20004  0.985E-05 -0.112E-11  0.796      0.204      0.206E-11 -0.545     -0.658E-16  0.735E-07  0.531E-07
   3.22443  0.980E-05 -0.118E-11  0.753      0.247      0.202E-11 -0.536     -0.374E-16  0.730E-07  0.531E-07
   3.24906  0.974E-05 -0.121E-11  0.709      0.291      0.199E-11 -0.527     -0.125E-17  0.725E-07  0.530E-07
   3.27390  0.967E-05 -0.123E-11  0.664      0.336      0.196E-11 -0.516      0.336E-16  0.720E-07  0.529E-07
   3.29893  0.959E-05 -0.131E-11  0.618      0.382      0.194E-11 -0.505      0.593E-16  0.716E-07  0.526E-07
   3.32413  0.951E-05 -0.135E-11  0.573      0.427      0.193E-11 -0.493      0.708E-16  0.712E-07  0.523E-07
   3.34946  0.941E-05 -0.142E-11  0.528      0.472      0.192E-11 -0.481      0.669E-16  0.707E-07  0.522E-07
   3.37490  0.930E-05 -0.144E-11  0.483      0.517      0.192E-11 -0.468      0.498E-16  0.702E-07  0.522E-07
   3.40043  0.919E-05 -0.145E-11  0.440      0.560      0.192E-11 -0.454      0.233E-16  0.698E-07  0.523E-07
   3.42603  0.907E-05 -0.148E-11  0.399      0.601      0.192E-11 -0.440     -0.778E-17  0.693E-07  0.525E-07
   3.45166  0.895E-05 -0.156E-11  0.359      0.641      0.193E-11 -0.426     -0.388E-16  0.688E-07  0.526E-07
   3.47730  0.882E-05 -0.159E-11  0.321      0.679      0.194E-11 -0.411     -0.650E-16  0.683E-07  0.526E-07
   3.50294  0.868E-05 -0.166E-11  0.285      0.715      0.196E-11 -0.396     -0.820E-16  0.678E-07  0.526E-07
   3.52855  0.855E-05 -0.168E-11  0.252      0.748      0.198E-11 -0.381     -0.865E-16  0.674E-07  0.525E-07
   3.55412  0.840E-05 -0.173E-11  0.220      0.780      0.200E-11 -0.365     -0.772E-16  0.669E-07  0.526E-07
   3.57962  0.826E-05 -0.175E-11  0.192      0.808      0.203E-11 -0.350     -0.555E-16  0.666E-07  0.529E-07
   3.60505  0.812E-05 -0.176E-11  0.165      0.835      0.207E-11 -0.334     -0.257E-16  0.662E-07  0.533E-07
   3.63038  0.798E-05 -0.178E-11  0.141      0.859      0.211E-11 -0.318      0.672E-17  0.658E-07  0.537E-07
   3.65562  0.783E-05 -0.181E-11  0.119      0.881      0.215E-11 -0.302      0.360E-16  0.655E-07  0.541E-07
   3.68074  0.769E-05 -0.184E-11  0.997E-01  0.900      0.219E-11 -0.287      0.582E-16  0.651E-07  0.543E-07
   3.70575  0.755E-05 -0.185E-11  0.824E-01  0.918      0.223E-11 -0.271      0.716E-16  0.647E-07  0.545E-07
   3.73062  0.741E-05 -0.188E-11  0.673E-01  0.933      0.227E-11 -0.255      0.766E-16  0.643E-07  0.547E-07
   3.75537  0.728E-05 -0.192E-11  0.542E-01  0.946      0.232E-11 -0.239      0.752E-16  0.640E-07  0.550E-07
   3.77998  0.714E-05 -0.196E-11  0.429E-01  0.957      0.237E-11 -0.224      0.695E-16  0.636E-07  0.553E-07
   3.80445  0.701E-05 -0.198E-11  0.334E-01  0.967      0.243E-11 -0.208      0.610E-16  0.632E-07  0.556E-07
   3.82879  0.688E-05 -0.199E-11  0.255E-01  0.974      0.248E-11 -0.193      0.502E-16  0.629E-07  0.560E-07
   3.85297  0.675E-05 -0.202E-11  0.191E-01  0.981      0.254E-11 -0.178      0.372E-16  0.625E-07  0.564E-07
   3.87702  0.663E-05 -0.204E-11  0.138E-01  0.986      0.259E-11 -0.162      0.214E-16  0.622E-07  0.568E-07
   3.90093  0.651E-05 -0.209E-11  0.976E-02  0.990      0.265E-11 -0.148      0.257E-17  0.618E-07  0.572E-07
   3.92469  0.639E-05 -0.208E-11  0.662E-02  0.993      0.270E-11 -0.133     -0.191E-16  0.615E-07  0.576E-07
   3.94831  0.628E-05 -0.210E-11  0.430E-02  0.996      0.276E-11 -0.118     -0.429E-16  0.611E-07  0.580E-07
   3.97180  0.617E-05 -0.214E-11  0.264E-02  0.997      0.282E-11 -0.104     -0.680E-16  0.608E-07  0.585E-07
   3.99515  0.606E-05 -0.215E-11  0.150E-02  0.998      0.288E-11 -0.892E-01 -0.935E-16  0.604E-07  0.589E-07
   4.01836  0.596E-05 -0.215E-11  0.779E-03  0.999      0.294E-11 -0.750E-01 -0.119E-15  0.601E-07  0.593E-07
   4.04144  0.586E-05 -0.221E-11  0.352E-03   1.00      0.299E-11 -0.610E-01 -0.144E-15  0.598E-07  0.596E-07
   4.06439  0.576E-05 -0.219E-11  0.130E-03   1.00      0.304E-11 -0.471E-01 -0.168E-15  0.595E-07  0.598E-07
   4.08721  0.566E-05 -0.226E-11  0.339E-04   1.00      0.308E-11 -0.334E-01 -0.192E-15  0.592E-07  0.600E-07
   4.10990  0.557E-05 -0.227E-11  0.436E-05   1.00      0.313E-11 -0.198E-01 -0.215E-15  0.589E-07  0.601E-07
   4.13247  0.548E-05 -0.231E-11  0.495E-07   1.00      0.317E-11 -0.642E-02 -0.238E-15  0.586E-07  0.601E-07
   4.15492  0.539E-05 -0.235E-11  0.661E-07   1.00      0.321E-11  0.685E-02 -0.261E-15  0.583E-07  0.601E-07
   4.17724  0.530E-05 -0.237E-11  0.494E-05   1.00      0.324E-11  0.200E-01 -0.284E-15  0.580E-07  0.600E-07
   4.19945  0.522E-05 -0.241E-11  0.378E-04   1.00      0.327E-11  0.330E-01 -0.306E-15  0.577E-07  0.598E-07
   4.22154  0.514E-05 -0.243E-11  0.146E-03   1.00      0.330E-11  0.458E-01 -0.328E-15  0.574E-07  0.595E-07
   4.24352  0.506E-05 -0.250E-11  0.400E-03   1.00      0.331E-11  0.585E-01 -0.348E-15  0.571E-07  0.590E-07
   4.26538  0.498E-05 -0.249E-11  0.900E-03  0.999      0.332E-11  0.711E-01 -0.367E-15  0.568E-07  0.584E-07
   4.28713  0.491E-05 -0.257E-11  0.177E-02  0.998      0.332E-11  0.836E-01 -0.383E-15  0.565E-07  0.576E-07
   4.30877  0.483E-05 -0.259E-11  0.316E-02  0.997      0.333E-11  0.959E-01 -0.395E-15  0.562E-07  0.566E-07
   4.33031  0.476E-05 -0.262E-11  0.525E-02  0.995      0.333E-11  0.108     -0.400E-15  0.559E-07  0.556E-07
   4.35174  0.469E-05 -0.268E-11  0.826E-02  0.992      0.333E-11  0.120     -0.397E-15  0.556E-07  0.544E-07
   4.37306  0.463E-05 -0.273E-11  0.124E-01  0.988      0.333E-11  0.132     -0.382E-15  0.553E-07  0.530E-07
   4.39429  0.456E-05 -0.279E-11  0.180E-01  0.982      0.333E-11  0.144     -0.354E-15  0.551E-07  0.516E-07
   4.41542  0.450E-05 -0.284E-11  0.252E-01  0.975      0.332E-11  0.155     -0.312E-15  0.548E-07  0.502E-07
   4.43646  0.443E-05 -0.286E-11  0.345E-01  0.966      0.331E-11  0.167     -0.256E-15  0.544E-07  0.488E-07
   4.45741  0.437E-05 -0.292E-11  0.461E-01  0.954      0.330E-11  0.178     -0.189E-15  0.541E-07  0.476E-07
   4.47827  0.432E-05 -0.293E-11  0.603E-01  0.940      0.329E-11  0.189     -0.113E-15  0.537E-07  0.465E-07
   4.49906  0.426E-05 -0.297E-11  0.774E-01  0.923      0.328E-11  0.200     -0.339E-16  0.534E-07  0.457E-07
   4.51977  0.421E-05 -0.300E-11  0.979E-01  0.902      0.327E-11  0.211      0.436E-16  0.531E-07  0.452E-07
   4.54042  0.416E-05 -0.298E-11  0.122      0.878      0.326E-11  0.222      0.114E-15  0.528E-07  0.447E-07
   4.56100  0.411E-05 -0.298E-11  0.150      0.850      0.324E-11  0.232      0.171E-15  0.526E-07  0.444E-07
   4.58154  0.406E-05 -0.299E-11  0.181      0.819      0.323E-11  0.242      0.211E-15  0.523E-07  0.440E-07
   4.60203  0.402E-05 -0.297E-11  0.217      0.783      0.321E-11  0.252      0.230E-15  0.521E-07  0.434E-07
   4.62249  0.398E-05 -0.293E-11  0.257      0.743      0.319E-11  0.261      0.227E-15  0.519E-07  0.426E-07
   4.64293  0.394E-05 -0.290E-11  0.301      0.699      0.317E-11  0.270      0.199E-15  0.516E-07  0.416E-07
   4.66337  0.391E-05 -0.290E-11  0.348      0.652      0.314E-11  0.279      0.150E-15  0.512E-07  0.406E-07
   4.68380  0.387E-05 -0.285E-11  0.399      0.601      0.310E-11  0.288      0.836E-16  0.509E-07  0.397E-07
   4.70426  0.384E-05 -0.274E-11  0.452      0.548      0.307E-11  0.296      0.657E-17  0.506E-07  0.391E-07
   4.72474  0.382E-05 -0.262E-11  0.508      0.492      0.303E-11  0.303     -0.714E-16  0.502E-07  0.388E-07
   4.74527  0.380E-05 -0.258E-11  0.565      0.435      0.300E-11  0.311     -0.140E-15  0.499E-07  0.386E-07
   4.76587  0.378E-05 -0.251E-11  0.622      0.378      0.296E-11  0.317     -0.189E-15  0.497E-07  0.385E-07
   4.78654  0.376E-05 -0.242E-11  0.679      0.321      0.292E-11  0.324     -0.210E-15  0.494E-07  0.380E-07
   4.80731  0.374E-05 -0.232E-11  0.734      0.266      0.287E-11  0.329     -0.200E-15  0.492E-07  0.373E-07
   4.82818  0.373E-05 -0.219E-11  0.786      0.214      0.282E-11  0.335     -0.157E-15  0.489E-07  0.365E-07
   4.84918  0.372E-05 -0.213E-11  0.835      0.165      0.278E-11  0.339     -0.879E-16  0.487E-07  0.359E-07
   4.87031  0.372E-05 -0.206E-11  0.878      0.122      0.273E-11  0.343     -0.405E-18  0.484E-07  0.356E-07
   4.89159  0.371E-05 -0.199E-11  0.916      0.837E-01  0.268E-11  0.347      0.907E-16  0.482E-07  0.356E-07
   4.91304  0.371E-05 -0.194E-11  0.948      0.524E-01  0.263E-11  0.349      0.168E-15  0.479E-07  0.356E-07
   4.93466  0.371E-05 -0.190E-11  0.972      0.280E-01  0.257E-11  0.352      0.213E-15  0.477E-07  0.354E-07
   4.95647  0.371E-05 -0.187E-11  0.989      0.111E-01  0.252E-11  0.353      0.215E-15  0.474E-07  0.349E-07
   4.97846  0.371E-05 -0.185E-11  0.998      0.189E-02  0.247E-11  0.354      0.169E-15  0.472E-07  0.343E-07
   5.00065  0.371E-05 -0.182E-11   1.00      0.331E-03  0.243E-11  0.354      0.856E-16  0.470E-07  0.340E-07
   5.02304  0.371E-05 -0.180E-11  0.994      0.628E-02  0.238E-11  0.353     -0.169E-16  0.468E-07  0.339E-07
   5.04563  0.370E-05 -0.178E-11  0.981      0.194E-01  0.234E-11  0.352     -0.115E-15  0.466E-07  0.340E-07
   5.06842  0.370E-05 -0.176E-11  0.961      0.392E-01  0.230E-11  0.350     -0.186E-15  0.464E-07  0.341E-07
   5.09140  0.370E-05 -0.176E-11  0.935      0.652E-01  0.227E-11  0.348     -0.216E-15  0.462E-07  0.339E-07
   5.11456  0.370E-05 -0.178E-11  0.903      0.966E-01  0.224E-11  0.345     -0.201E-15  0.460E-07  0.336E-07
   5.13791  0.369E-05 -0.179E-11  0.867      0.133      0.221E-11  0.341     -0.144E-15  0.458E-07  0.333E-07
   5.16143  0.368E-05 -0.182E-11  0.827      0.173      0.218E-11  0.337     -0.579E-16  0.456E-07  0.332E-07
   5.18511  0.367E-05 -0.189E-11  0.784      0.216      0.215E-11  0.332      0.402E-16  0.454E-07  0.333E-07
   5.20894  0.366E-05 -0.192E-11  0.738      0.262      0.213E-11  0.326      0.131E-15  0.452E-07  0.336E-07
